mech,n,ctry_n
Amnesties,902,137
Reparations,79,54
Truth Commissions,91,61
Criminal prosecutions,6544,181
domestic,5980,179
foreign,186,47
international,378,21
Vetting policies,87,46
UN Investigations,95,43
