type,subtype,n
domestic,Regular human rights prosecutions,3485
domestic,Transitional human rights prosecutions,1329
domestic,Intrastate conflict prosecutions,1400
domestic,Opposition prosecutions,153
foreign,Active personality jurisdiction,16
foreign,Passive personality jurisdiction,25
foreign,Territorial jurisdiction,15
foreign,Universal jurisdiction,130
international,Ad Hoc Tribunals,155
international,Hybrid Tribunals,192
international,International Criminal Court,31
