col_name,definition
ccode_cow,COW numeric country code
ICC_referral,year in which country situation was referred to the ICC
ICC_prelim,year in which preliminary ICC examination began
ICC_prelim_end,year in which preliminary ICC examination ended
ICC_investigation,year in which ICC investigation began
ICC_investigation_closed,year in which ICC investigation was closed
ICC_proceedings,year in which ICC proceedings began
ICC_proceedings_end,year in which ICC proceedings ended
tjet_version,TJET database version: date on which data was extracted from the database
