tag
#broken_attachments
#duplicate
#missing
#multiple_attachments_of_same_type
#non_file_attachments
#noneattached
#nonfile
#nosource
Africa
Amnesty International
Balkans
CGE model
Central Africa
Demonstrations & Riots
East Asia
Economic impacts
Energy policy
Global energy crisis
Human Rights Watch
ICJ
ICTJ
Indu (TJET coder)
International Commission of Jurists
International Justice Monitor
Islamic State in Iraq and Syria (ISIS)
Jammu & Kashmir
Keesing's
Kurds
Latin America
Lois
Lois reviewed
Lois revisit
Middle East & North Africa
Muslims & Islam
Nauru
Russia-Ukraine conflict
Samoa
TJ themes
TJET NoSnapshot
TJET behind paywall
TJET database source
TJET inaccessible
TJET member
TJET not in online database
TJET online source not found
TJET revisit
TJlaw
UN
UNHCR
United Nations
archived news
article
attitudes
biography
blog post
case law
case studies
chapters
collective memory
complementarity
conflict
conflict violence
countries
country profile
court document
courts
criminal proceeding
critique
customary international law
database
dataset
datasets sources
deterrence
document
draft law
encyclopaedia
encyclopedia
factsheet
feminism
gender
gender article
government
human rights
impacts
implementation
indigenous practices
inequality
international crime database
international criminal justice
international institutions
international law
interview
land restitution
law
leader civil lawsuit
leader prosecution
legal
legal case file
legitimacy
mechanisms
monographs & editorials
new
news
news report
newspaper
other peer-reviewed scholarship
peace agreements
peacebuilding
photo
police report
policing
policy
postcommunist
psychological effects
regime change
regional mechanisms
report
repression
research
research investigations
research paper
residential schools
reviews
ruling
sequencing
state formation
terrorism
transitional justice
trauma
violent conflict
women
